,name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation
coordinates,Aachen,1,Valid,L5,21,Fell,1880-01-01T00:00:00.000,50.775,6.08333,"[6.08333, 50.775]"
type,Aachen,1,Valid,L5,21,Fell,1880-01-01T00:00:00.000,50.775,6.08333,Point
