,name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation
coordinates,Acapulco,10,Valid,Acapulcoite,1914,Fell,1976-01-01T00:00:00.000,16.88333,-99.9,"[-99.9, 16.88333]"
type,Acapulco,10,Valid,Acapulcoite,1914,Fell,1976-01-01T00:00:00.000,16.88333,-99.9,Point
