,name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation
coordinates,Aarhus,2,Valid,H6,720,Fell,1951-01-01T00:00:00.000,56.18333,10.23333,"[10.23333, 56.18333]"
type,Aarhus,2,Valid,H6,720,Fell,1951-01-01T00:00:00.000,56.18333,10.23333,Point
