,name,id,nametype,recclass,mass,fall,year,reclat,reclong,geolocation
coordinates,Abee,6,Valid,EH4,107000,Fell,1952-01-01T00:00:00.000,54.21667,-113,"[-113, 54.21667]"
type,Abee,6,Valid,EH4,107000,Fell,1952-01-01T00:00:00.000,54.21667,-113,Point
